Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
107,Jaidon Anthony,eng ENG,MFFW,Bournemouth,eng Premier League,23-098,1999,9.5,495,13,92,182,227,27,495,26,9,34.6,17,65.4,281,1652,738,23,21,11,18,12,312,50,Matches,e4238fb1
108,Janis Antiste,fr FRA,FW,Sassuolo,it Serie A,20-203,2002,0.6,23,0,7,9,7,1,23,1,0,0.0,1,100.0,14,49,9,0,0,0,1,0,16,2,Matches,38d9ce53
109,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26-232,1996,22.4,1671,181,788,712,192,27,1671,30,14,46.7,15,50.0,901,5714,3210,39,25,2,20,10,1021,41,Matches,5e66fa06
110,Marcos Antônio,br BRA,MF,Lazio,it Serie A,22-269,2000,3.5,245,14,61,162,23,0,245,2,1,50.0,0,0.0,143,520,143,0,2,0,5,3,180,3,Matches,108fe016
111,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,32-346,1990,12.5,369,10,29,165,181,52,369,32,12,37.5,16,50.0,234,1460,635,26,17,11,43,29,297,75,Matches,ac05f970
112,Antony,br BRA,FW,Manchester Utd,eng Premier League,23-013,2000,11.1,571,5,85,193,308,38,571,36,10,27.8,20,55.6,407,2660,1365,52,37,16,19,7,431,86,Matches,99127249
113,Valentin Antov,bg BUL,DF,Monza,it Serie A,22-120,2000,1.9,131,18,65,54,12,0,131,1,1,100.0,0,0.0,58,234,97,0,2,0,2,2,76,3,Matches,8f68aa41
114,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,29-030,1994,11.8,508,1,36,154,325,37,508,40,15,37.5,22,55.0,286,1721,670,29,24,10,55,24,294,134,Matches,0a3f6cde
115,Anuar,ma MAR,MFFW,Valladolid,es La Liga,28-053,1995,2.3,70,8,20,30,20,8,70,4,2,50.0,0,0.0,37,261,127,6,2,3,7,4,41,4,Matches,c93231dc
116,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,24-252,1998,4.8,382,4,37,230,117,22,382,17,6,35.3,9,52.9,296,1504,652,12,14,4,6,9,294,29,Matches,a5db0bec
117,Adil Aouchiche,fr FRA,MFFW,Lorient,fr Ligue 1,20-237,2002,1.1,86,1,6,49,31,4,86,4,0,0.0,3,75.0,65,465,276,7,4,0,3,3,64,9,Matches,b94b8be1
118,Dennis Appiah,fr FRA,DFMF,Nantes,fr Ligue 1,30-273,1992,8.8,554,37,158,292,113,4,554,18,6,33.3,10,55.6,372,2193,1173,15,13,0,12,10,339,51,Matches,feb5d3ab
119,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,27-160,1995,9.2,457,26,100,274,93,3,457,3,3,100.0,0,0.0,226,1116,495,8,10,0,13,4,237,7,Matches,58afe001
120,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,33-326,1989,5.5,368,9,84,225,61,8,368,7,4,57.1,1,14.3,172,681,278,3,3,0,8,2,244,7,Matches,56413b1f
121,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24-002,1999,11.5,778,53,268,483,31,17,778,2,2,100.0,0,0.0,510,3105,2175,18,4,1,3,3,564,7,Matches,2bef2bca
122,Cameron Archer,eng ENG,FWMF,Aston Villa,eng Premier League,21-231,2001,0.5,15,0,1,8,7,3,15,1,1,100.0,0,0.0,15,114,72,3,1,1,2,3,13,3,Matches,05e8ca6d
123,Taïryk Arconte,fr FRA,FW,Brest,fr Ligue 1,19-117,2003,1.4,36,1,4,9,23,5,36,5,3,60.0,2,40.0,23,179,26,1,1,2,5,2,24,8,Matches,c5e6c017
124,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30-010,1993,2.4,81,75,81,0,0,0,81,0,0,,0,,42,181,95,0,0,0,0,0,38,0,Matches,2f965a72
125,Joe Aribo,ng NGA,MFFW,Southampton,eng Premier League,26-231,1996,12.2,517,11,79,238,212,45,517,38,16,42.1,21,55.3,272,1184,586,17,10,7,32,18,323,58,Matches,328f7d51
126,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,26-027,1997,12.2,388,7,56,149,192,39,388,30,8,26.7,18,60.0,222,2047,852,35,23,10,20,20,232,54,Matches,68c720b5
